primary,target_mode,lead,model,pooled_test_accuracy,sharpe,ann_return,max_drawdown,sortino,hit_rate,pct_traded,n_oos_days
EUR/USD,ternary,2,Ensemble (weighted train acc),0.6273809523809524,-1.4789147718742952,-0.0590902103196328,-0.22787353679491318,-0.7516726248027141,0.4017094017094017,0.1392857142857143,840.0
EUR/USD,ternary,2,Gradient boosting (sklearn),0.5511904761904762,-1.6275410787129618,-0.08157661768887425,-0.29124899614368904,-1.2192932836781034,0.4398496240601504,0.31666666666666665,840.0
EUR/USD,ternary,2,Ensemble (mean proba),0.6297619047619047,-1.6714600121977787,-0.0650327926655696,-0.22463493345571994,-0.8347041021739343,0.39473684210526316,0.1357142857142857,840.0
EUR/USD,ternary,2,Random forest,0.6833333333333333,-1.7637722139126215,-0.03075635661960119,-0.10121482954139549,-0.4948195907120204,0.16666666666666666,0.02142857142857143,840.0
EUR/USD,ternary,3,"Logistic (sklearn, on global PCA)",0.3202380952380952,0.17537919948678726,0.014509877814272265,-0.20010795159754113,0.17792951828073847,0.5102459016393442,0.580952380952381,840.0
EUR/USD,ternary,3,MLP neural net,0.5892857142857143,0.021057284300199097,0.00032039347122503337,-0.023190586812018354,0.003334967773949153,0.5,0.007142857142857143,840.0
EUR/USD,ternary,3,SVM (RBF),0.5654761904761905,-0.03451285212037362,-0.0007705121751550026,-0.05852156480095749,-0.01467344791641926,0.5178571428571429,0.06666666666666667,840.0
EUR/USD,ternary,3,"MNLogit (statsmodels, PCA)",0.475,-0.05698964105084047,-0.0039726814475501415,-0.15764660477561954,-0.0406430454097322,0.5343511450381679,0.3119047619047619,840.0
EUR/USD,ternary,3,Hist gradient boosting,0.4630952380952381,-0.06140033852493248,-0.004440004004996667,-0.18349830090501695,-0.04794086697420362,0.5116279069767442,0.35833333333333334,840.0
EUR/USD,ternary,3,XGBoost,0.5059523809523809,-0.1711129795781958,-0.011921932316869222,-0.19209209188906595,-0.11982837145699783,0.4957627118644068,0.28095238095238095,840.0
EUR/USD,ternary,3,Ensemble (mean proba),0.5071428571428571,-0.38782566850960704,-0.02421230290467591,-0.17869484344868536,-0.23065958172073783,0.4861878453038674,0.2154761904761905,840.0
EUR/USD,ternary,3,Ensemble (weighted train acc),0.5035714285714286,-0.4300645325937283,-0.02705150716728677,-0.18305545465083184,-0.26464767893592117,0.4789473684210526,0.2261904761904762,840.0
EUR/USD,ternary,3,Gradient boosting (sklearn),0.46904761904761905,-0.5016203307485099,-0.03772330872787888,-0.2737964754922009,-0.4061595077517972,0.5060240963855421,0.3952380952380952,840.0
EUR/USD,ternary,3,Random forest,0.5630952380952381,-0.9675118110081647,-0.051706033337132085,-0.1960520840549973,-0.39282248846709295,0.3466666666666667,0.08928571428571429,840.0
EUR/USD,ternary,4,SVM (RBF),0.49404761904761907,0.6524746495360335,0.02399150349980972,-0.06962999573230322,0.36327009636352825,0.5267857142857143,0.13333333333333333,840.0
EUR/USD,ternary,4,"MNLogit (statsmodels, PCA)",0.44166666666666665,0.3905184275791431,0.03512659522105155,-0.17879413355738294,0.318710336761618,0.5527950310559007,0.38333333333333336,840.0
EUR/USD,ternary,4,"Logistic (sklearn, on global PCA)",0.30952380952380953,0.27167662215233435,0.02714649341357367,-0.1953598774523826,0.2787275611214331,0.5421686746987951,0.5928571428571429,840.0
EUR/USD,ternary,4,Hist gradient boosting,0.4095238095238095,0.0336039793167735,0.003097082552223407,-0.25837158351552414,0.03201624529837437,0.5180412371134021,0.46190476190476193,840.0
EUR/USD,ternary,4,MLP neural net,0.5154761904761904,-0.11006907520171154,-0.002593923374365259,-0.05369920697927888,-0.02252646452591698,0.5,0.0380952380952381,840.0
EUR/USD,ternary,4,Ensemble (mean proba),0.45714285714285713,-0.2510746400249638,-0.01968542010148333,-0.2152739557051453,-0.1645399630098069,0.5219298245614035,0.2714285714285714,840.0
EUR/USD,ternary,4,Ensemble (weighted train acc),0.44642857142857145,-0.46994111857877935,-0.03659489973207197,-0.23404832308490664,-0.31770559235817053,0.510548523206751,0.28214285714285714,840.0
EUR/USD,ternary,4,XGBoost,0.44047619047619047,-0.5811527754024507,-0.04803444020705161,-0.29219971202599326,-0.44842692876175944,0.49645390070921985,0.3357142857142857,840.0
EUR/USD,ternary,4,Random forest,0.4988095238095238,-0.9275083405198176,-0.045911719009633534,-0.2308751813542611,-0.387180923091154,0.4727272727272727,0.13095238095238096,840.0
